full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,DELETE,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,overall_durability,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,pick_and_roll_defense_iq,lateral_quickness,pass_perception,reaction_time,steal,block,shot_contest,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,standing_dunk_t,driving_dunk_t,flashy_dunk_t,alley_oop_t,putback_dunk_t,crash_t,driving_layup_t,spin_layup_t,hop_step_layup_t,euro_step_layup_t,floater_t,step_through_shot_t,shot_under_basket_t,shot_close_t,shot_close_left_t,shot_close_middle_t,shot_close_right_t,shot_mid_t,spot_up_shot_mid_t,off_screen_shot_mid_t,shot_3pt_t,spot_up_shot_3pt_t,off_screen_shot_3pt_t,contested_jumper_mid_t,contested_jumper_3pt_t,stepback_jumper_mid_t,stepback_jumper_3pt_t,spin_jumper_t,transition_pull_up_3pt_t,drive_pull_up_3pt_t,drive_pull_up_mid_t,use_glass_t,triple_threat_pump_fake_t,triple_threat_jab_step_t,triple_threat_idle_t,triple_threat_shoot_t,setup_with_sizeup_t,setup_with_hesitation_t,no_setup_dribble_t,drive_t,spot_up_drive_t,off_screen_drive_t,drive_right_t,driving_crossover_t,driving_spin_t,driving_step_back_t,driving_half_spin_t,driving_double_crossover_t,driving_behind_the_back_t,driving_dribble_hesitation_t,driving_in_and_out_t,no_driving_dribble_move_t,attack_strong_on_drive_t,shoot_t,touches_t,roll_vs_pop_t,transition_spot_up_t,iso_vs_elite_defender_t,iso_vs_good_defender_t,iso_vs_average_defender_t,iso_vs_poor_defender_t,play_discipline_t,post_up_t,post_shimmy_shot_t,post_face_up_t,post_back_down_t,post_aggressive_backdown_t,shoot_from_post_t,post_hook_left_t,post_hook_right_t,post_fade_left_t,post_fade_right_t,post_up_and_under_t,post_hop_shot_t,post_step_back_shot_t,post_drive_t,post_spin_t,post_drop_step_t,post_hop_step_t,dish_to_open_man_t,flashy_pass_t,alley_oop_pass_t,pass_interception_t,take_charge_t,on_ball_steal_t,contest_shot_t,block_shot_t,foul_t,hard_foul_t
LeBron James,97,#23,Los Angeles Lakers,F,12/30/84,6-9 / 2.06,250 lbs. / 113.4 kg.,"$37,436,858",USA,2003,1,1,,Lebron James,94,92,87,50,82,98,96,80,90,82,83,81,88,85,93,93,90,88,98,87,99,93,82,84,90,86,86,92,89,89,90,89,96,88,75,95,85,70,80,25,99,100,100,100,100,10,15,80,65,55,25,25,64,54,40,7,32,61,25,60,50,50,75,35,40,20,40,40,40,8,10,15,35,75,75,5,75,25,50,25,99,65,65,25,35,5,10,5,10,5,35,5,10,85,95,99,75,20,65,65,75,85,15,45,15,10,40,20,75,8,13,85,50,30,20,55,25,15,25,15,65,60,65,69,20,31,90,26,30,55
Kawhi Leonard,97,#2,Los Angeles Clippers,F,06/29/91,6-7 / 2.01,225 lbs. / 102.1 kg.,"$32,742,000",USA,2011,1,15,San Diego State,Kawhi Leonard,94,95,97,70,92,98,95,80,95,89,87,65,95,98,96,95,95,85,95,98,79,93,86,88,84,89,88,98,98,97,98,98,88,98,88,96,98,80,80,25,98,0,100,100,100,10,35,55,65,55,55,25,42,36,60,6,23,71,35,60,50,55,80,45,65,30,55,20,30,12,15,30,10,75,90,5,45,10,35,30,45,50,55,35,25,15,30,0,0,0,35,15,80,65,90,95,0,15,30,30,40,50,20,25,0,30,20,10,60,18,35,54,67,20,0,10,25,0,5,15,35,5,20,75,0,80,65,35,35,80
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/06/94,6-11 / 2.11,242 lbs. / 109.8 kg.,"$25,842,697",Greece,2013,1,15,,Giannis Antetokounmpo,98,94,84,85,90,98,98,85,97,98,84,80,74,95,97,97,95,70,98,95,95,95,89,92,84,90,86,96,89,89,96,88,90,96,82,91,95,74,94,25,98,100,100,100,100,20,20,80,50,50,65,15,47,62,40,12,12,76,10,60,55,30,40,10,20,10,20,0,25,0,0,15,20,95,95,5,25,0,0,50,90,95,90,75,55,5,35,5,0,5,15,0,99,95,95,99,75,0,35,35,45,55,30,35,5,5,20,5,75,35,35,59,47,30,0,15,20,10,0,0,60,20,35,85,0,50,70,60,60,35
Kevin Durant,96,#7,Brooklyn Nets,F,09/29/88,6-10 / 2.08,230 lbs. / 104.3 kg.,"$37,199,000",USA,2007,1,2,Texas,Kevin Durant,91,94,94,97,90,98,95,60,85,88,74,70,86,85,92,92,85,65,97,69,84,87,86,79,67,72,78,92,90,86,92,85,76,80,80,75,90,26,63,25,98,45,95,95,80,25,35,45,60,50,65,45,85,28,50,9,13,78,85,0,10,85,45,15,80,30,35,0,25,35,10,35,45,5,15,30,45,40,40,20,55,55,55,51,55,30,45,20,0,20,45,30,80,85,99,86,15,15,3,32,49,97,35,7,40,65,20,5,18,9,10,65,57,30,35,45,35,0,0,18,35,30,40,64,64,34,70,54,38,40
James Harden,96,#13,Houston Rockets,G,08/26/89,6-5 / 1.96,220 lbs. / 99.8 kg.,"$38,199,000",USA,2009,1,3,Arizona State,James Harden,95,90,94,80,95,99,98,35,84,98,76,60,84,98,87,87,85,74,98,98,99,87,97,86,92,98,62,79,81,70,80,82,90,83,56,75,80,37,69,50,96,80,80,80,85,5,20,95,75,70,99,60,22,43,45,11,22,67,10,60,55,99,99,60,45,75,75,75,35,20,40,10,45,80,80,5,65,25,50,25,45,65,50,50,40,45,99,25,35,25,35,25,80,90,99,99,20,55,95,95,99,99,20,5,0,35,15,10,55,11,3,18,11,5,15,65,25,0,0,0,60,25,75,70,10,55,65,20,50,30
Stephen Curry,95,#30,Golden State Warriors,G,03/14/88,6-3 / 1.91,185 lbs. / 83.9 kg.,"$40,231,758",USA,2009,1,7,Davidson,Stephen Curry,91,89,99,98,92,98,97,25,36,89,35,35,52,97,88,91,73,48,98,98,90,88,97,93,72,97,30,75,78,84,85,85,97,85,47,82,65,36,61,65,95,40,5,20,8,0,30,65,70,80,95,95,97,27,30,4,61,35,20,76,29,99,80,48,60,15,80,3,35,3,5,14,55,15,5,50,30,30,60,10,85,85,85,45,60,30,55,25,20,25,40,30,80,75,96,87,0,55,3,28,43,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,50,50,70,58,76,60,29,48,15
Anthony Davis,94,#3,Los Angeles Lakers,F-C,03/11/93,6-10 / 2.08,222 lbs. / 100.7 kg.,"$27,093,019",USA,2012,1,1,Kentucky,Anthony Davis,94,85,66,98,97,95,95,95,90,97,92,90,90,94,79,78,86,87,95,92,80,65,61,56,64,68,86,60,91,95,67,78,97,50,80,96,91,96,95,60,96,95,90,90,99,20,15,55,30,25,5,15,70,43,70,18,7,75,30,55,45,20,70,25,45,5,50,0,5,0,0,15,35,95,95,0,35,10,15,0,50,45,50,75,0,5,0,0,0,0,0,0,99,75,90,95,75,0,15,15,25,35,10,55,15,50,15,0,80,36,35,41,24,40,25,55,40,35,0,0,25,5,10,59,20,52,95,65,40,50
Paul George,93,#13,Los Angeles Clippers,F,05/02/90,6-8 / 2.03,210 lbs. / 95.3 kg.,"$33,005,556",USA,2010,1,10,Fresno State,Paul George,90,85,86,97,84,98,90,55,97,84,78,40,74,95,88,88,98,65,97,90,85,83,86,78,66,75,79,95,94,94,94,92,94,89,50,92,95,43,75,35,94,0,100,100,50,5,25,75,60,60,45,45,63,36,35,4,46,50,25,60,55,75,99,55,95,60,75,40,45,20,25,35,25,60,60,15,40,10,35,30,50,55,45,75,40,30,55,15,0,15,65,40,80,65,75,85,15,20,25,25,35,45,5,5,15,15,35,20,25,0,5,23,23,25,25,55,50,15,0,10,35,15,15,75,20,59,79,19,60,45
Damian Lillard,92,#0,Portland Trail Blazers,G,07/15/90,6-2 / 1.88,195 lbs. / 88.5 kg.,"$29,802,321",USA,2012,1,6,Weber State,Damian Lillard,93,92,95,98,98,98,96,25,95,98,42,30,38,95,94,94,92,63,97,95,98,94,95,98,96,98,25,84,85,72,90,77,70,78,50,78,85,38,87,35,97,0,100,100,25,5,15,85,65,40,20,60,19,41,30,16,22,62,20,60,50,85,99,55,50,70,65,75,35,15,25,15,20,65,65,15,45,25,50,25,65,45,35,75,35,25,45,15,35,15,35,25,90,70,90,95,0,25,35,35,45,55,20,0,0,20,10,5,55,4,11,26,16,0,20,35,20,0,0,0,45,45,50,41,20,51,65,16,30,20
Joel Embiid,91,#21,Philadelphia 76ers,C,03/16/94,7-0 / 2.13,250 lbs. / 113.4 kg.,"$27,504,630",Cameroon,2014,1,3,Kansas,Joel Embiid,96,90,91,98,85,98,84,95,85,96,96,96,96,95,80,78,88,96,95,95,68,73,69,40,67,74,96,81,93,88,79,70,78,70,96,96,95,95,95,25,97,100,95,85,100,20,50,70,0,0,0,15,65,45,70,19,8,73,20,50,30,45,50,10,25,10,45,0,40,0,0,0,55,75,85,5,75,0,5,0,50,30,35,75,5,0,0,0,0,0,0,0,55,75,99,99,75,50,10,10,20,30,5,90,15,15,60,20,90,75,30,75,30,75,25,35,40,20,50,25,20,0,0,55,10,55,99,90,80,50
